DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3695361,ALLIANT VAN LINES LLC,FL,PALM BEACH,Normal,,0,1,15000
3695497,SUN2SUN LLC,FL,MARION,Normal,,0,1,15000
3695572,ZIZ LOGISTICS INC,FL,VOLUSIA,Normal,,0,1,15000
3695836,MALIBU CARRIERS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3696118,JF BAUTA TRANSPORT INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3696535,UNIFIED SPACE LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3696818,SUN TROPICAL TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3696839,MGSG LOGISTICS LLC,FL,LIBERTY,Normal,,0,1,15000
3696868,JRV LOGISTIC LLC,FL,ORANGE,Normal,,0,1,15000
3697835,E-ZOTIC TRANSPORT LLC,FL,BROWARD,Normal,,0,1,15000
3697877,TOPP FREIGHT SERVICES LLC,FL,BROWARD,Normal,,0,1,15000
3697968,MONTECRISTO TRUCKING LLC,FL,SAINT LUCIE,Normal,,0,1,15000
3698661,BBB INTERSTATE CORP,FL,ORANGE,Normal,,0,1,15000
3698746,JOHNSON & JOHNSON TRUCKING LLC,FL,LEON,Normal,,0,1,15000
3698846,BEACON XPRESS LLC,FL,OSCEOLA,Normal,,0,1,15000
3698949,EMILIO TRUCKING INC,FL,BROWARD,Normal,,0,1,15000
3699410,GILYARD TRANSPORT LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3700362,Y & Y QUALITY TRANSPORT INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3700411,DRIVELINE LOGISTICS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3700452,BORIS L PENA HERNANDEZ,FL,MIAMI-DADE,High Risk,,0,1,17500
3700869,1985 LOGISTICS LLC,FL,POLK,Normal,,0,1,15000
3700990,Y&Y LAND TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3701409,N E X EXPRESS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3701830,PEREZ Y SERVICES CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3702293,VPS TRANSPORT LLC,FL,LAKE,Normal,,0,1,15000
3702496,MOLINA TRANSPORTATION LLC,FL,POLK,Normal,,0,1,15000
3702538,TORRES & ORTIZ TRUCKING LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3702610,CVS FREIGHT TRANSPORTATION SERVICES LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3702645,CMT ELITE LLC,FL,VOLUSIA,Normal,,0,1,15000
3703248,ROBERT H M K INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3703406,O & J FAST TRUCKING INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3703596,REALITY BY FAITH LLC,FL,SANTA ROSA,Normal,,0,1,15000
3703733,SILVERS DYNASTY LLC,FL,ORANGE,Normal,,0,1,15000
3703995,AXIS TRUCKING LLC,FL,OSCEOLA,Normal,,0,1,15000
3704213,1KC LOGISTICS,FL,LEE,Normal,,0,1,15000
3704249,R & R TRANSPORT OF N FLA LLC,FL,DUVAL,Normal,,0,1,15000
3704320,AG BROTHERS TRANSPORTATION SERVICES LLC,FL,PALM BEACH,Normal,,0,1,15000
3704365,SUPPLY USA LLC,FL,OSCEOLA,Normal,,0,1,15000
3704491,MENA & SONS LOGISTICS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3704575,ALL POINT AUTO XPRESS INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3704639,MDK CARRIER LLC,FL,BROWARD,Normal,,0,1,15000
3704649,NEC NOYA'S EXPRESS CONVEYANCE LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3704721,LOAD N GO LLC,FL,OSCEOLA,Normal,,0,1,15000
3704745,M & S EXPRESS TRUCKING INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3704788,BIGEX LOGISTICS LLC,FL,PALM BEACH,Normal,,0,1,15000
3705236,BIGWILL TRUCKING LLC,FL,DUVAL,Normal,,0,1,15000
3705604,AES TRANSPORT INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3705675,5683 TRUCKING LLC,FL,BROWARD,Normal,,0,1,15000
3705749,JC TURN AND BURN CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3705895,YORMAR TRUCKING LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3705921,PRO PROTECTION LLC,FL,BREVARD,Normal,,0,1,15000
3706422,VAYA BORI TRUCKING LLC,FL,LEE,Normal,,0,1,15000
3706513,FRANCESCA LAURENT INC,FL,ORANGE,Normal,,0,1,15000
3706921,JJNET SERVICES INC,FL,DUVAL,Normal,,0,1,15000
3706964,CMX TRUCKING INC,FL,OSCEOLA,Normal,,0,1,15000
3708043,POMPEYS TRUCKING LLC OF FLORIDA,FL,WAKULLA,Normal,,0,1,15000
3708109,VARGAS EXPRESS LLC,FL,OSCEOLA,Normal,,0,1,15000
3708209,EL MICHA TRUCKING LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3708606,ORR TRUCKING CORP,FL,ORANGE,Normal,,0,1,15000
3708616,GOLDEN TRANSPORTATION FL LLC,FL,BROWARD,Normal,,0,1,15000
3708668,RYDEN TRANSPORTATION INC,FL,DUVAL,Normal,,0,1,15000
3708848,HN FERNANDEZ TRANSPORTATION LLC,FL,VOLUSIA,Normal,,0,1,15000
3709010,WTL TRANSPORTATION LLC,FL,POLK,Normal,,0,1,15000
3709024,AC&P TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3709165,E AND L CATTLE LLC,FL,LEVY,Normal,,0,1,15000
3709389,CITY PRO SERVICES LLC,FL,POLK,Normal,,0,1,15000
3709450,BUCCANEERS TRANSPORT SERVICES CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3709728,SOPHELI TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3709813,SPOTLIGHT PRESSURE CLEANING & PAINTING INC,FL,BROWARD,Normal,,0,1,15000
3709978,JANSEN'S TRANSPORT LLC,FL,POLK,Normal,,0,1,15000
3710465,EMPERADOR TRANSPORTATION LLC,FL,SAINT JOHNS,Normal,,0,1,15000
3711350,TEMPS TRANSPORT INC,FL,JACKSON,Normal,,0,1,15000
3711665,BLACK RIDER TRANSPORT LLC,FL,SAINT LUCIE,Normal,,0,1,15000
3712164,TRANSPORT GLOBAL AMERICAN LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3712298,C&S EXPRESS TRUCKING LLC,FL,POLK,Normal,,0,1,15000
